Link,Description,Score
https://openlibrary.org/books/OL679489M/Fundamentals_of_management,"
          Fundamentals of management
        ",0
https://openlibrary.org/books/OL1101573M/Fundamentals_of_management,"
          Fundamentals of management
        ",0
https://openlibrary.org/books/OL10232434M/Fundamentals_of_Management,"
          Fundamentals of Management: Study Guide
        ",0
https://openlibrary.org/books/OL1535152M/Fundamentals_of_management,"
          Fundamentals of management
        ",0
https://openlibrary.org/books/OL2197895M/Fundamentals_of_management,"
          Fundamentals of management
        ",0
https://openlibrary.org/books/OL2746494M/Fundamentals_of_management,"
          Fundamentals of management
        ",0
https://openlibrary.org/books/OL3193383M/Fundamentals_of_management,"
          Fundamentals of management
        ",0
https://openlibrary.org/books/OL4121744M/Fundamentals_of_management,"
          Fundamentals  of management: functions, behavior, models
        ",0
https://openlibrary.org/books/OL4568488M/Fundamentals_of_management,"
          Fundamentals of management: functions, behavior, models
        ",0
https://openlibrary.org/books/OL4571367M/Fundamentals_of_management,"
          Fundamentals of management: selected readings
        ",0
https://openlibrary.org/books/OL5056057M/Fundamentals_of_management,"
          Fundamentals of management: functions, behavior, models
        ",0
https://openlibrary.org/books/OL5061293M/Fundamentals_of_management,"
          Fundamentals of management: selected readings
        ",0
