Link,Description,Score
/works/OL19925687W,The essentials of corporate communications and public relations,0
/works/OL1982791W,Human Resource Management,0
/works/OL2707715W,Human resource management,0
/works/OL2625892W,"Managing human resources: productivity, quality of work life, profits",0
/works/OL2025031W,Human resource management,0
/works/OL2959662W,Human resource management,0
/works/OL1965132W,Human resource management,0
/works/OL1984512W,Human resources management,0
/works/OL1870276W,Human resource management,0
/works/OL2664401W,Managing human resources,0
/works/OL2463821W,Managing hospitality human resources,0
/works/OL2038891W,Human resource management,0
/works/OL3280702W,Human resource management,0
/works/OL537440W,Human resource management,0
/works/OL1884636W,Human resource management systems,0
