Link,Description,Score
https://www.investopedia.com/financial-term-dictionary-4769738,Education,0
/financial-term-dictionary-4769738,Dictionary,0
/economy-4689801,Economics,0
/corporate-finance-and-accounting-4689821,Corporate Finance,0
/terms/r/rothira.asp,Roth IRA,0
/stocks-4427785,Stocks,0
/mutual-funds-4427787,Mutual Funds,0
/terms/e/etf.asp,ETFs,0
/terms/1/401kplan.asp,401(k),0
/investing-essentials-4689754,Investing Essentials,0
/fundamental-analysis-4689757,Fundamental Analysis,0
/portfolio-management-4689745,Portfolio Management,0
/trading-skills-and-essentials-4689654,Trading Essentials,0
/technical-analysis-4689657,Technical Analysis,0
/risk-management-4689652,Risk Management,0
https://www.investopedia.com/markets/,Markets,0
/company-news-4427705,Company News,0
/markets-news-4427704,Markets News,0
/trading-news-4689736,Trading News,0
/political-news-4689737,Political News,0
/trends-4689735,Trends,0
https://www.investopedia.com/markets/stocks/aapl/,Apple (AAPL),0
https://www.investopedia.com/markets/stocks/tsla/,Tesla (TSLA),0
https://www.investopedia.com/markets/stocks/amzn/,Amazon (AMZN),0
https://www.investopedia.com/markets/stocks/amd/,AMD (AMD),0
https://www.investopedia.com/markets/stocks/fb/,Facebook (FB),0
https://www.investopedia.com/markets/stocks/nflx/,Netflix (NFLX),0
https://www.investopedia.com/simulator/,Create an Account,0
https://www.investopedia.com/simulator/game/listgames.aspx,Join a Game,0
https://www.investopedia.com/simulator/game/,My Game,0
https://www.investopedia.com/simulator/game/creategame.aspx,Create a Game,0
/personal-finance-4427760,Your Money,0
/wealth-4689687,Wealth Management,0
/budgeting-and-savings-4427755,Budgeting/Saving,0
/banking-4427754,Banking,0
/credit-card-4689721,Credit Cards,0
/home-ownership-4689706,Home Ownership,0
/retirement-planning-4689695,Retirement Planning,0
/taxes-4427724,Taxes,0
/insurance-4427716,Insurance,0
/best-online-brokers-4587872,Best Online Brokers,0
/best-brokers-for-beginners-4587873,Best Brokers for Beginners,0
/best-brokers-for-roth-iras-4587878,Best Roth IRA Accounts,0
/best-web-trading-platforms-4587883,Best Trading Platforms,0
/best-robo-advisors-4693125,Best Robo-Advisors,0
/wealthfront-vs-betterment-4587963,Betterment vs Wealthfront,0
