Time,Level,Mode,NewRate,Rate,Output
71,0.9,0.3,0.2,0.2256,0.3
34,0.9,0.3,0.45,0.3,0.17
14,0.9,0.3,0.612,0.17,0.456
35,0.9,0.3,,0.456,
36,0.9,0.3,,,
13,0.9,0.3,,,
33,0.9,0.3,,,
47,0.9,0.3,,,
29,0.9,0.3,,,
41,0.9,0.3,,,
36,0.9,0.3,,,
36,0.9,0.3,,,
26,0.9,0.3,,,
18,0.9,0.3,,,
32,0.9,0.3,,,
45,0.9,0.3,,,
54,0.9,0.3,,,
41,0.9,0.3,,,
56,0.9,0.3,,,
28,0.9,0.3,,,
40,0.9,0.3,,,
19,0.9,0.3,,,
28,0.9,0.3,,,
34,0.9,0.3,,,
32,0.9,0.3,,,
25,0.9,0.3,,,
43,0.9,0.3,,,
19,0.9,0.3,,,
32,0.9,0.3,,,
43,0.9,0.3,,,
29,0.9,0.3,,,
33,0.9,0.3,,,
27,0.9,0.3,,,
43,0.9,0.3,,,
40,0.9,0.3,,,
29,0.9,0.3,,,
33,0.9,0.3,,,
48,0.9,0.3,,,
21,0.9,0.3,,,
49,0.9,0.3,,,
33,0.9,0.3,,,
42,0.9,0.3,,,
53,0.9,0.3,,,
17,0.9,0.3,,,
35,0.9,0.3,,,
48,0.9,0.3,,,
59,0.9,0.3,,,
6,0.9,0.3,,,
26,0.9,0.3,,,
57,0.9,0.3,,,
29,0.9,0.3,,,
21,0.9,0.3,,,
16,0.9,0.3,,,
33,0.9,0.3,,,
25,0.9,0.3,,,
14,0.9,0.3,,,
32,0.9,0.3,,,
43,0.9,0.3,,,
32,0.9,0.3,,,
25,0.9,0.3,,,
28,0.9,0.3,,,
59,0.9,0.3,,,
42,0.9,0.3,,,
16,0.9,0.3,,,
36,0.9,0.3,,,
29,0.9,0.3,,,
54,0.9,0.3,,,
25,0.9,0.3,,,
9,0.9,0.3,,,
51,0.9,0.3,,,
32,0.9,0.3,,,
28,0.9,0.3,,,
45,0.9,0.3,,,
49,0.9,0.3,,,
27,0.9,0.3,,,
56,0.9,0.3,,,
15,0.9,0.3,,,
37,0.9,0.3,,,
38,0.9,0.3,,,
30,0.9,0.3,,,
13,0.9,0.3,,,
23,0.9,0.3,,,
32,0.9,0.3,,,
32,0.9,0.3,,,
26,0.9,0.3,,,
28,0.9,0.3,,,
10,0.9,0.3,,,
40,0.9,0.3,,,
49,0.9,0.3,,,
52,0.9,0.3,,,
64,0.9,0.3,,,
11,0.9,0.3,,,
41,0.9,0.3,,,
53,0.9,0.3,,,
18,0.9,0.3,,,
40,0.9,0.3,,,
55,0.9,0.3,,,
29,0.9,0.3,,,
27,0.9,0.3,,,
22,0.9,0.3,,,
61,0.9,0.3,,,
23,0.9,0.3,,,
47,0.9,0.3,,,
35,0.9,0.3,,,
21,0.9,0.3,,,
37,0.9,0.3,,,
36,0.9,0.3,,,
44,0.9,0.3,,,
23,0.9,0.3,,,
29,0.9,0.3,,,
34,0.9,0.3,,,
27,0.9,0.3,,,
29,0.9,0.3,,,
45,0.9,0.3,,,
13,0.9,0.3,,,
32,0.9,0.3,,,
56,0.9,0.3,,,
47,0.9,0.3,,,
45,0.9,0.3,,,
38,0.9,0.3,,,
10,0.9,0.3,,,
47,0.9,0.3,,,
13,0.9,0.3,,,
38,0.9,0.3,,,
22,0.9,0.3,,,
56,0.9,0.3,,,
22,0.9,0.3,,,
19,0.9,0.3,,,
44,0.9,0.3,,,
46,0.9,0.3,,,
6,0.9,0.3,,,
58,0.9,0.3,,,
33,0.9,0.3,,,
40,0.9,0.3,,,
53,0.9,0.3,,,
43,0.9,0.3,,,
36,0.9,0.3,,,
58,0.9,0.3,,,
37,0.9,0.3,,,
33,0.9,0.3,,,
47,0.9,0.3,,,
46,0.9,0.3,,,
32,0.9,0.3,,,
48,0.9,0.3,,,
26,0.9,0.3,,,
16,0.9,0.3,,,
63,0.9,0.3,,,
27,0.9,0.3,,,
46,0.9,0.3,,,
23,0.9,0.3,,,
44,0.9,0.3,,,
12,0.9,0.3,,,
24,0.9,0.3,,,
41,0.9,0.3,,,
30,0.9,0.3,,,
45,0.9,0.3,,,
25,0.9,0.3,,,
34,0.9,0.3,,,
31,0.9,0.3,,,
37,0.9,0.3,,,
25,0.9,0.3,,,
27,0.9,0.3,,,
25,0.9,0.3,,,
10,0.9,0.3,,,
48,0.9,0.3,,,
45,0.9,0.3,,,
17,0.9,0.3,,,
44,0.9,0.3,,,
25,0.9,0.3,,,
29,0.9,0.3,,,
19,0.9,0.3,,,
37,0.9,0.3,,,
15,0.9,0.3,,,
42,0.9,0.3,,,
26,0.9,0.3,,,
19,0.9,0.3,,,
39,0.9,0.3,,,
29,0.9,0.3,,,
16,0.9,0.3,,,
39,0.9,0.3,,,
37,0.9,0.3,,,
15,0.9,0.3,,,
7,0.9,0.3,,,
35,0.9,0.3,,,
39,0.9,0.3,,,
30,0.9,0.3,,,
49,0.9,0.3,,,
42,0.9,0.3,,,
40,0.9,0.3,,,
46,0.9,0.3,,,
56,0.9,0.3,,,
31,0.9,0.3,,,
50,0.9,0.3,,,
9,0.9,0.3,,,
17,0.9,0.3,,,
53,0.9,0.3,,,
13,0.9,0.3,,,
68,0.9,0.3,,,
33,0.9,0.3,,,
54,0.9,0.3,,,
30,0.9,0.3,,,
20,0.9,0.3,,,
33,0.9,0.3,,,
50,0.9,0.3,,,
46,0.9,0.3,,,
17,0.9,0.3,,,
56,0.9,0.3,,,
24,0.9,0.3,,,
43,0.9,0.3,,,
46,0.9,0.3,,,
19,0.9,0.3,,,
40,0.9,0.3,,,
40,0.9,0.3,,,
41,0.9,0.3,,,
37,0.9,0.3,,,
27,0.9,0.3,,,
50,0.9,0.3,,,
51,0.9,0.3,,,
49,0.9,0.3,,,
57,0.9,0.3,,,
27,0.9,0.3,,,
27,0.9,0.3,,,
26,0.9,0.3,,,
38,0.9,0.3,,,
33,0.9,0.3,,,
35,0.9,0.3,,,
23,0.9,0.3,,,
39,0.9,0.3,,,
37,0.9,0.3,,,
