Time,Level,Mode,NewRate,Rate,Output
71,0.9,0.3,0.12804,0.12804097,0.1016042781
34,0.9,0.3,0.11,0.1016042781,0.3766233766
14,0.9,0.3,0.2391138274,0.3766233766,0.961038961
35,0.9,0.3,0.297668886701365,0.909090909,0.20752472
36,0.9,0.3,0.661016703471738,0.20752472,0.25656965
13,0.9,0.3,0.161313962359867,0.25656965,0.41632143
33,0.9,0.3,0.248602260348467,0.41632143,0.26907778
47,0.9,0.3,0.347349275166913,0.26907778,0.18325646
29,0.9,0.3,0.208161652679245,0.18325646,0.305918
41,0.9,0.3,0.166030777552618,0.305918,0.21768942
36,0.9,0.3,0.24326667897794,0.21768942,0.25336286
36,0.9,0.3,0.160879481054738,0.25336286,0.25247234
26,0.9,0.3,0.252983676527092,0.25247234,0.32631156
18,0.9,0.3,0.193269195382044,0.32631156,0.38277555
32,0.9,0.3,0.258781368968332,0.38277555,0.2652445
45,0.9,0.3,0.297289455708186,0.2652445,0.18764332
54,0.9,0.3,0.226753209469298,0.18764332,0.1447383
41,0.9,0.3,0.177925203980457,0.1447383,0.22434884
56,0.9,0.3,0.142476562753148,0.22434884,0.14752613
28,0.9,0.3,0.174109785153414,0.14752613,0.3198476
40,0.9,0.3,0.121104833304654,0.3198476,0.21792813
19,0.9,0.3,0.258970294058464,0.21792813,0.37874022
28,0.9,0.3,0.188001777441602,0.37874022,0.29716676
34,0.9,0.3,0.310600424528759,0.29716676,0.2657264
32,0.9,0.3,0.238140371415986,0.2657264,0.28027397
25,0.9,0.3,0.216476956531615,0.28027397,0.3311067
43,0.9,0.3,0.228842672107398,0.3311067,0.20531142
19,0.9,0.3,0.26423830567379,0.20531142,0.39645526
32,0.9,0.3,0.175861692441027,0.39645526,0.26742432
43,0.9,0.3,0.302215462823319,0.26742432,0.19753873
29,0.9,0.3,0.223729050081187,0.19753873,0.29948983
33,0.9,0.3,0.181110583630776,0.29948983,0.27011198
27,0.9,0.3,0.246945525286241,0.27011198,0.31747642
43,0.9,0.3,0.219463823583616,0.31747642,0.2010494
40,0.9,0.3,0.249028007126565,0.2010494,0.23407036
29,0.9,0.3,0.175874446215262,0.23407036,0.30403134
33,0.9,0.3,0.193430129042583,0.30403134,0.26885414
48,0.9,0.3,0.251194715738091,0.26885414,0.17711598
21,0.9,0.3,0.21873440869037,0.17711598,0.36993834
49,0.9,0.3,0.166385180986884,0.36993834,0.16759318
33,0.9,0.3,0.29491496771107,0.16759318,0.27701232
42,0.9,0.3,0.156617018216111,0.27701232,0.20717196
53,0.9,0.3,0.230206623094019,0.20717196,0.16020061
17,0.9,0.3,0.185671282800553,0.16020061,0.40278625
35,0.9,0.3,0.146394646392047,0.40278625,0.24807185
48,0.9,0.3,0.319515913217417,0.24807185,0.18971469
59,0.9,0.3,0.204776463899252,0.18971469,0.13734256
6,0.9,0.3,0.170248748894184,0.13734256,0.5044893
26,0.9,0.3,0.129984285245462,0.5044893,0.31076467
57,0.9,0.3,0.388097256301421,0.31076467,0.13402228
