Time,Level,Mode,NewRate,Rate,Output
23,0.3,0.3,0.193675889328063,0.193675889328063,0.96103896103896
35,0.3,0.3,0.14488989271598,0.96103896103896,0.142857142857143
28,0.3,0.3,0.11948051948052,0.142857142857143,0.151515151515152
27,0.3,0.3,0.147186147186148,0.151515151515152,0.64935064935065
42,0.3,0.3,0.108225108225109,0.64935064935065,0.51383399209486
46,0.3,0.3,0.058159232072276,0.51383399209486,0.64935064935065
42,0.3,0.3,0.058159232072276,0.64935064935065,0.113636363636364
32,0.3,0.3,0.089285714285715,0.113636363636364,0.134796238244514
29,0.3,0.3,0.19367589,0.134796238244514,0.18631476
51,0.3,0.3,0.19367589,0.18631476,0.58690733
58,0.3,0.3,0.19367589,0.58690733,0.12727021
48,0.3,0.3,0.19367589,0.12727021,0.34855632
33,0.3,0.3,0.1936759,0.34855632,0.21813717
50,0.3,0.3,0.1936759,0.21813717,0.4237404
72,0.3,0.3,0.19367589,0.4237404,0.7468093
25,0.3,0.3,0.19367589,0.7468093,0.103225
53,0.3,0.3,0.19367589,0.103225,0.19689089
18,0.3,0.3,0.19367592,0.19689089,0.24833278
22,0.3,0.3,0.24833278,0.24833278,0.1714694
68,0.3,0.3,0.24833278,0.1714694,0.58000647
16,0.3,0.3,0.24833278,0.58000647,0.25644812
25,0.3,0.3,0.25644812,0.25644812,0.15703191
9,0.3,0.3,0.25644812,0.15703191,0.3608896
41,0.3,0.3,0.36088958,0.3608896,0.5642337
14,0.3,0.3,0.36088955,0.5642337,0.27935353
25,0.3,0.3,0.36088955,0.27935353,0.13430417
40,0.3,0.3,0.36088955,0.13430417,0.58425877
31,0.3,0.3,0.36088955,0.58425877,0.12714487
69,0.3,0.3,0.36088955,0.12714487,0.7742931
33,0.3,0.3,0.36088958,0.7742931,0.8633252
28,0.3,0.3,0.36088955,0.8633252,0.1193134
45,0.3,0.3,0.36088955,0.1193134,0.4363341
29,0.3,0.3,0.36088958,0.4363341,0.13408916
29,0.3,0.3,0.36088955,0.13408916,0.11706709
19,0.3,0.3,0.36088955,0.11706709,0.20813859
34,0.3,0.3,0.36088955,0.20813859,0.8931713
45,0.3,0.3,0.36088955,0.8931713,0.40038805
21,0.3,0.3,0.36088958,0.40038805,0.20256537
28,0.3,0.3,0.36088955,0.20256537,0.12761408
19,0.3,0.3,0.36088955,0.12761408,0.21581353
19,0.3,0.3,0.36088955,0.21581353,0.21516733
47,0.3,0.3,0.36088955,0.21516733,0.30321531
8,0.3,0.3,0.3608896,0.30321531,0.37341943
7,0.3,0.3,0.37341943,0.37341943,0.39012703
7,0.3,0.3,0.390127,0.39012703,0.38954747
36,0.3,0.3,0.390127,0.38954747,0.8042208
46,0.3,0.3,0.390127,0.8042208,0.39587483
10,0.3,0.3,0.390127,0.39587483,0.33007312
49,0.3,0.3,0.390127,0.33007312,0.29735725
49,0.3,0.3,0.390127,0.29735725,0.34039333
28,0.3,0.3,0.39012703,0.34039333,0.12411689
34,0.3,0.3,0.390127,0.12411689,0.8418912
23,0.3,0.3,0.390127,0.8418912,0.16992126
48,0.3,0.3,0.390127,0.16992126,0.32620788
37,0.3,0.3,0.39012703,0.32620788,0.7597722
35,0.3,0.3,0.390127,0.7597722,0.86259484
22,0.3,0.3,0.390127,0.86259484,0.18564738
27,0.3,0.3,0.390127,0.18564738,0.12841703
64,0.3,0.3,0.390127,0.12841703,0.11343935
31,0.3,0.3,0.39012703,0.11343935,0.10887017
48,0.3,0.3,0.390127,0.10887017,0.3789291
11,0.3,0.3,0.39012703,0.3789291,0.33243027
39,0.3,0.3,0.390127,0.33243027,0.59959415
59,0.3,0.3,0.390127,0.59959415,0.15114933
42,0.3,0.3,0.390127,0.15114933,0.5669027
40,0.3,0.3,0.390127,0.5669027,0.6837285
