,Link,Description
0,"Working together, building a quality workforce",/works/OL16881563W
1,Action plan for HRD,/works/OL16872489W
2,Orientation booklet,/works/OL16857576W
3,Human resources,/works/OL222994W
4,Human resources,/works/OL3333927W
5,Human resources,/works/OL7225089W
6,Human resources,/works/OL12217127W
7,The essentials of corporate communications and public relations,/works/OL19925687W
8,Human Resource Management,/works/OL1982791W
9,Human resource management,/works/OL2707715W
10,"Managing human resources: productivity, quality of work life, profits",/works/OL2625892W
11,Human resource management,/works/OL2025031W
12,Human resource management,/works/OL2959662W
13,Costing human resources: the financial impact of behavior in organizations,/works/OL2625891W
14,Human resource management,/works/OL1965132W
15,Human resources management,/works/OL1984512W
16,Human Resources Administration,/works/OL103855W
