Userid,current_rate,Threshold,Introduction,Planning,Organising,Directing,Controlling,Perspectives,BestFit,Training,EmpInterest,Evaluation,Intro_marketing,Strategy,MixDecisions,Behaviour,Trends
1,0.5,0.6,0.1,0.3000000119,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.6,0.7,0.8,0,0.1500000022,0,0,0,0,0,0,0,0,0,0,0,0
3,0.35,0.3,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.09,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
